,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Dominican Republic","Data source","All types","6.15","6.21","6.14","6.30","5.79","5.23","6.40","6.51","6.21","6.66"
"Ecuador","Data source","All types","3.88","3.77","3.64","3.54","3.56","3.66","3.70","3.87","4.12","3.97"
"Egypt","Data source","All types","0.20","0.23","0.20","0.18","0.16","0.16","0.15","0.15","0.14","0.14"
"El Salvador","Data source","All types","2.48","2.59","2.73","2.66","2.67","2.78","2.98","2.85","2.76","2.67"
"Equatorial Guinea","Data source","All types","7.89","8.28","6.81","7.23","7.15","7.72","7.14","6.03","5.09","4.44"
"Eritrea","Data source","All types","0.47","0.17","1.23","0.97","1.07","0.71","0.61","0.90","0.67","0.90"
"Estonia","Data source","All types","14.32","16.38","17.37","15.83","14.70","13.23","11.55","10.36","9.22","7.90"
"Eswatini","Data source","All types","5.63","5.62","6.32","6.24","5.03","5.93","5.76","5.64","6.74","7.11"
"Ethiopia","Data source","All types","0.77","0.44","0.75","0.83","0.65","0.56","0.52","0.52","0.54","0.57"
"Fiji","Data source","All types","2.32","1.96","2.10","2.07","2.02","1.63","1.76","1.85","1.93","2.05"
"Finland","Data source","All types","9.96","10.26","10.45","10.15","9.95","9.89","9.31","9.25","8.94","8.59"
"France","Data source","All types","12.30","12.30","12.60","12.40","12.60","13.18","13.49","13.78","13.89","13.63"
"Gabon","Data source","All types","8.61","8.73","8.99","7.98","7.68","8.10","6.45","8.30","9.26","8.84"
"Gambia","Data source","All types","3.05","2.98","3.18","3.24","3.30","3.55","3.63","3.37","3.28","3.14"
"Georgia","Data source","All types","6.88","8.05","7.64","6.29","4.70","3.74","3.36","3.02","3.09","3.71"
"Germany","Data source","All types","11.61","11.75","11.89","12.14","12.04","11.83","11.92","12.25","12.46","12.91"
"Ghana","Data source","All types","1.92","2.18","1.39","1.96","1.81","1.79","1.91","1.95","1.85","1.95"
"Greece","Data source","All types","9.07","9.52","9.70","9.47","10.03","9.60","9.49","8.67","9.32","9.16"
"Grenada","Data source","All types","8.42","8.92","9.04","9.05","8.79","8.38","9.76","10.75","9.64","9.40"
"Guatemala","Data source","All types","2.00","2.06","2.24","2.22","2.20","2.25","2.29","2.26","2.37","2.48"
"Guinea","Data source","All types","0.18","0.20","0.19","0.16","0.20","0.34","0.18","0.20","0.17","0.17"
"Guinea-Bissau","Data source","All types","2.73","2.84","3.03","3.26","3.46","3.32","2.86","2.43","2.56","2.94"
"Guyana","Data source","All types","5.08","5.02","5.09","4.99","5.22","8.06","8.11","7.85","6.78","6.70"
"Haiti","Data source","All types","5.90","6.00","6.15","6.26","5.34","6.13","6.67","6.13","6.24","4.81"
"Honduras","Data source","All types","2.97","3.05","3.12","3.23","3.23","3.02","3.04","3.09","2.74","2.61"
"Hungary","Data source","All types","11.46","11.64","12.55","13.16","12.94","","13.24","13.28","13.18","12.23"
"Iceland","Data source","All types","7.24","7.19","7.53","7.20","7.05","6.71","6.52","6.53","6.32","6.14"
"India","Data source","All types","2.47","1.91","1.57","1.35","1.26","1.19","1.18","1.09","0.99","0.93"
"Indonesia","Data source","All types","0.09","0.08","0.07","0.07","0.07","0.06","0.05","0.05","0.06","0.06"
"Iran (Islamic Republic of)","Data source","All types","0.03","0.02","0.02","0.02","0.01","0.01","0.01","0","0","0"
"Iraq","Data source","All types","0.20","0.17","0.15","0.03","0.18","0.32","0.07","0.15","0.17","0.20"
"Ireland","Data source","All types","11.27","12.42","13.37","13.38","13.42","13.14","13.07","13.98","14.06","13.87"
"Israel","Data source","All types","2.56","2.48","2.34","2.23","2.41","2.30","2.36","2.55","2.61","2.63"
"Italy","Data source","All types","6.40","6.84","7.19","7.26","7.41","8.98","9.30","9.25","9.68","9.78"
"Jamaica","Data source","All types","2.84","2.94","2.99","3.02","3.08","3.12","3.08","3.30","3.41","3.43"
"Japan","Data source","All types","6.98","7.06","7.28","7.48","7.99","7.69","7.83","7.87","8.02","7.96"
"Jordan","Data source","All types","0.59","0.61","0.59","0.58","0.55","0.54","0.54","0.54","0.55","0.49"
"Kazakhstan","Data source","All types","6.44","7.40","7.26","6.91","6.73","6.39","6.42","5.94","5.66","6.00"
"Kenya","Data source","All types","2.04","1.79","2.20","1.96","1.49","1.29","1.19","1.40","1.35","1.31"
"Kiribati","Data source","All types","0.56","0.48","0.70","0.79","0.60","0.48","0.50","0.49","0.60","0.46"
"Kuwait","Data source","All types","0.10","0.03","0.03","0.01","0.01","0.02","0.03","0.01","0.01","0.01"
"Kyrgyzstan","Data source","All types","5.99","7.28","6.97","6.77","6.52","6.74","6.43","5.89","5.74","5.32"
"Lao People's Democratic Republic","Data source","All types","5.30","5.20","5.07","3.73","3.71","3.56","3.43","3.35","3.14","5.19"
"Latvia","Data source","All types","9.85","11.84","12.12","10.40","9.92","8.81","8.24","7.44","6.68","7.13"
"Lebanon","Data source","All types","1.61","1.68","1.72","1.82","1.94","2.10","2.19","1.98","2.19","2.26"
